Genetic Algorithm Statistics
============================
Population Size: 100
Number of Generations: 73069
Crossover Rate: 0.70
Mutation Rate: 0.40
Total Time (seconds): 12.15
Final Best Fitness: 0

Best Fitness per Generation:
Generation 1035: 10260
Generation 1036: 10260
Generation 1037: 10260
Generation 1038: 10260
Generation 1039: 10260
Generation 1040: 10260
Generation 1041: 10260
Generation 1042: 10260
Generation 1043: 10260
Generation 1044: 10260
Generation 1045: 10260
Generation 1046: 10260
Generation 1047: 10260
Generation 1048: 10260
Generation 1049: 10260
Generation 1050: 10260
Generation 1051: 10260
Generation 1052: 10260
Generation 1053: 10260
Generation 1054: 10260
Generation 1055: 10260
Generation 1056: 10260
Generation 1057: 10260
Generation 1058: 10260
Generation 1059: 10260
Generation 1060: 10260
Generation 1061: 10260
Generation 1062: 10260
Generation 1063: 10260
Generation 1064: 10260
Generation 1065: 10260
Generation 1066: 10260
Generation 1067: 10260
Generation 1068: 10260
Generation 1069: 10260
Generation 1070: 10260
Generation 1071: 10260
Generation 1072: 10260
Generation 1073: 10260
Generation 1074: 10260
Generation 1075: 10260
Generation 1076: 10260
Generation 1077: 10260
Generation 1078: 10260
Generation 1079: 10260
Generation 1080: 10260
Generation 1081: 10260
Generation 1082: 10260
Generation 1083: 10260
Generation 1084: 10230
Generation 1085: 10230
Generation 1086: 10230
Generation 1087: 10230
Generation 1088: 10230
Generation 1089: 10230
Generation 1090: 10230
Generation 1091: 10230
Generation 1092: 10230
Generation 1093: 10230
Generation 1094: 10230
Generation 1095: 10230
Generation 1096: 10230
Generation 1097: 10230
Generation 1098: 10230
Generation 1099: 10230
Generation 1100: 10230
Generation 1101: 10230
Generation 1102: 10230
Generation 1103: 10230
Generation 1104: 10230
Generation 1105: 10230
Generation 1106: 10230
Generation 1107: 10230
Generation 1108: 10230
Generation 1109: 10230
Generation 1110: 10230
Generation 1111: 10230
Generation 1112: 10230
Generation 1113: 10230
Generation 1114: 10230
Generation 1115: 10230
Generation 1116: 10230
Generation 1117: 10230
Generation 1118: 10230
Generation 1119: 10230
Generation 1120: 10230
Generation 1121: 10230
Generation 1122: 10230
Generation 1123: 10230
Generation 1124: 10230
Generation 1125: 10230
Generation 1126: 10230
Generation 1127: 10230
Generation 1128: 10230
Generation 1129: 10230
Generation 1130: 10230
Generation 1131: 10230
Generation 1132: 10230
Generation 1133: 10230
Generation 1134: 10230
Generation 1135: 10230
Generation 1136: 10230
Generation 1137: 10230
Generation 1138: 10230
Generation 1139: 10230
Generation 1140: 10230
Generation 1141: 10230
Generation 1142: 10230
Generation 1143: 10230
Generation 1144: 10230
Generation 1145: 10230
Generation 1146: 10230
Generation 1147: 10230
Generation 1148: 10230
Generation 1149: 10230
Generation 1150: 10230
Generation 1151: 10230
Generation 1152: 10230
Generation 1153: 10230
Generation 1154: 10230
Generation 1155: 10230
Generation 1156: 10230
Generation 1157: 10230
Generation 1158: 10230
Generation 1159: 10230
Generation 1160: 10230
Generation 1161: 10230
Generation 1162: 10230
Generation 1163: 10230
Generation 1164: 10230
Generation 1165: 10230
Generation 1166: 10230
Generation 1167: 10230
Generation 1168: 10230
Generation 1169: 10230
Generation 1170: 10230
Generation 1171: 10230
Generation 1172: 10230
Generation 1173: 10230
Generation 1174: 10230
Generation 1175: 10230
Generation 1176: 10230
Generation 1177: 10230
Generation 1178: 10230
Generation 1179: 10230
Generation 1180: 10230
Generation 1181: 10230
Generation 1182: 10230
Generation 1183: 10230
Generation 1184: 10230
Generation 1185: 10230
Generation 1186: 10230
Generation 1187: 10230
Generation 1188: 10230
Generation 1189: 10230
Generation 1190: 10230
Generation 1191: 10230
Generation 1192: 10230
Generation 1193: 10230
Generation 1194: 10230
Generation 1195: 10230
Generation 1196: 10230
Generation 1197: 10230
Generation 1198: 10230
Generation 1199: 10230
Generation 1200: 10230
Generation 1201: 10230
Generation 1202: 10230
Generation 1203: 10230
Generation 1204: 10230
Generation 1205: 10230
Generation 1206: 10180
Generation 1207: 10180
Generation 1208: 10180
Generation 1209: 10180
Generation 1210: 10180
Generation 1211: 10180
Generation 1212: 10180
Generation 1213: 10180
Generation 1214: 10180
Generation 1215: 10180
Generation 1216: 10180
Generation 1217: 10180
Generation 1218: 10180
Generation 1219: 10180
Generation 1220: 10180
Generation 1221: 10180
Generation 1222: 10180
Generation 1223: 10180
